% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 2 - tu_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
555                                               11700.904327107666+18824.034038516133i            11698.115450160847+18821.774980443515i            11695.21327374534+18820.095638942934i             11692.22679507775+18818.427656336327i             11689.186522067695+18817.21297826333i
560                                               11888.821800449728+18921.638240432832i            11885.82996129279+18919.493374293026i             11882.740331594703+18917.94834088981i             11879.583139422459+18916.427584446235i            11876.390089500212+18915.375488949245i
565                                               12077.596040607797+19017.621086710435i            12074.403785065631+19015.606278576743i            12071.13088145034+19014.210987540424i             12067.808729696042+19012.85229770969i             12064.47016022718+19011.976890119116i
570                                               12267.212128366364+19111.98691633346i             12263.823140440853+19110.118225507027i            12260.37229932785+19108.888179597474i             12256.892105308601+19107.7063385438i              12253.416430358995+19107.021538619778i
575                                               12457.65592318464+19204.74048878706i              12454.075064446359+19203.034090762332i            12450.452810281742+19201.98477933866i             12446.82267665011+19200.994425060424i             12443.219479425512+19200.51387803979i
580                                               12648.914106795033+19295.88692818961i             12645.147450815553+19294.35903290448i             12641.36152147678+19293.505845869433i             12637.590752090757+19292.721382712534i            12633.870790792838+19292.458367372554i
585                                               12840.974222878174+19385.43166220296i             12837.02908419196+19384.098427913996i             12833.088450386713+19383.456565821452i            12829.187559640888+19382.892071793256i            12825.362766346967+19382.859406046366i
590                                               13033.82471213527+19473.380356030055i             13029.70966928456+19472.25779915632i              13025.6245474817+19471.842179906587i              13021.605262717898+19471.511311268096i            13017.688734952051+19471.721255774934i
595                                               13227.454942232596+19559.738841896706i            13223.179854404505+19558.842743223257i            13218.961712901752+19558.667905815386i            13214.836969513384+19558.5837994646i              13210.842954145517+19559.047959845146i
600                                               13421.85523199564+19644.51304445673i              13417.431248862296+19643.858852169888i            13413.092806585555+19643.938857995046i            13408.876735497102+19644.1140322043i              13404.820604721599+19644.843260430793i
605                                               13617.016869381961+19727.708902635786i            13612.456433738023+19727.31163267635i             13608.011651444662+19727.659964922983i            13603.719558655153+19728.106219004385i            13599.617777815994+19729.1105146528i
610                                               13812.93212276913+19809.332288532943i             13808.24896561909+19809.20642280661i              13803.713029202456+19809.835884554923i            13799.361367175865+19810.564198116852i            13795.231454242727+19811.852610107093i
615                                               14009.594245161432+19889.38892396755i             14004.803372943657+19889.54830700311i             14000.192668579031+19890.470918638384i            13995.798999275672+19891.491351079767i            13991.659475872024+19893.071880641808i
620                                               14206.997470994545+19967.884295394873i            14202.115144682892+19968.34203006153i             14197.447225625894+19969.56892666092i             14193.030175039403+19970.89051761484i             14188.900508970972+19972.77002319272i
625                                               14405.137005295006+20044.823567914384i            14400.180711157816+20045.59191083724i             14395.474256037063+20047.13324023466i             14391.053460183364+20048.763911665807i            14386.953999443604+20050.948016497325i
630                                               14604.009005018148+20120.211499099118i            14598.997416890603+20121.30175647532i             14594.272179422316+20123.166578688135i            14589.868221751203+20125.113039388783i            14585.82012010139+20127.606042523093i
635                                               14803.610552474123+20194.052353454274i            14798.563485439598+20195.474777944244i            14793.840235513708+20197.670966711667i            14789.474575823899+20199.93861994285i             14785.49971008465+20202.743411464304i
640                                               15003.93962086267+20266.349818276325i             14998.877976290572+20268.113507698185i            14994.178432517816+20270.647654863304i            14989.873327461059+20273.24050989721i             14985.994206722866+20276.358491080748i
645                                               15204.995031950966+20337.106921697672i            15199.94073394586+20339.219720264813i             15195.287487713513+20342.09704373729i             15191.065903131219+20345.017632047824i            15187.305570165507+20348.448641242492i
650                                               15406.776406125604+20406.325953731095i            15401.752329441946+20408.794356533825i            15397.168760704008+20412.018612593514i            15393.05427599782+20415.267909442427i             15389.436201241424+20419.010154376854i
655                                               15609.284105003586+20474.00839101866i             15604.31399461351+20476.837452525353i             15599.824179602874+20480.410853187917i            15595.840884547139+20483.988205338643i            15592.388853049591+20488.03820258634i
660                                               15812.519166986156+20540.154826080994i            15807.62754948474+20543.348073353092i             15803.256160721168+20547.27120953827i             15799.428545033712+20551.17426980323i             15796.166536896026+20555.526792083012i
665                                               16016.483236130853+20604.764901739527i            16011.695323297543+20608.32425309652i             16007.467522205297+20612.596024277256i            16003.820358406801+20616.82069357953i             16000.772423240762+20621.468725533177i
670                                               16221.178484833456+20667.837251362325i            16216.520069673343+20671.762941172216i            16212.46139228286+20676.380492207954i             16209.01961235637+20680.920869815913i             16206.209738405354+20685.855572870703i
675                                               16426.60753087205+20729.369445554425i             16422.104876566285+20733.659955839044i            16418.2411127953+20738.618621623296i              16415.029679215808+20743.466964137i               16412.481657824446+20748.677651017264i
680                                               16632.773349411167+20789.357945831176i            16628.45307164109+20794.009945307615i             16624.81013871299+20799.30320383123i              16621.853910545356+20804.44989350883i             16619.591196678724+20809.924012879193i
685                                               16839.679180645286+20847.79806575548i             16835.56812382285+20852.806356926554i             16832.17193444465+20858.42579132361i              16829.495529159587+20863.859314229376i            16827.541098816426+20869.582445924105i
690                                               17047.328433781382+20904.6839399431i              17043.453541762+20910.041414785315i               17040.32986773174+20915.976684862533i             17037.95751955675+20921.683619309966i             17036.333724846456+20927.639480518115i
695                                               17255.724588094465+20960.008501280856i            17252.112770020154+20965.70610605512i             17249.287101992304+20971.94492977108i             17247.242517521736+20977.90994540752i             17245.970940334268+20984.080408107144i
700                                               17464.871091858586+21013.763466608925i            17461.549083817015+21019.79017623525i             17459.046487954114+21026.318321514613i            17457.35269993187+21032.52418940637i              17456.454005058185+21038.88930929299i
705                                               17674.77125994391+21065.93933104378i              17671.765483133328+21072.28213345582i             17669.610455495695+21079.08342066855i             17668.289675564152+21085.511034612795i            17667.783464223427+21092.049091649875i
710                                               17885.42817089403+21116.525371030413i             17882.764587082132+21123.169261843344i            17880.980906510213+21130.225577217287i            17880.054377881734+21136.853986444414i            17879.959042587798+21143.541537144905i
715                                               18096.844564258157+21165.509656141698i            18094.54852931154+21172.43764392591i              18093.15910973661+21179.728964084108i             18092.64696064528+21186.53541747544i              18092.979542369183+21193.347358861316i
720                                               18309.022739067925+21212.879069547722i            18307.11885535872+21220.072191897503i             18306.14559833665+21227.57661964985i              18306.06669722043+21234.53662146906i              18306.84274582041+21241.44626664417i
725                                               18521.96445417008+21258.61933700048i              18520.476422683674+21266.056687577875i            18519.940071082372+21273.750499003214i            18520.31188440543+21280.837876082136i             18521.54532325564+21287.81704124609i
730                                               18735.67083122977+21302.715064112064i             18734.621304226024+21310.37383070487i             18734.541297928794+21318.231533514074i            18735.379751585446+21325.418513788674i            18737.08274735808+21332.437616412826i
735                                               18950.142261128334+21345.149781587406i            18949.552696192324+21353.005295240942i            18949.947030704243+21360.99969831361i             18951.266375870044+21368.257000443224i            18953.449214404052+21375.285168296596i
740                                               19165.378314479356+21385.90599808242i             19165.26883079014+21393.931793196723i             19166.15391962772+21402.034087129272i             19167.96660400178+21409.331020978072i             19170.637573120897+21416.336211570393i
745                                               19381.37765685751+21424.96526020747i              19381.766894546214+21433.133145497977i            19383.15743626323+21441.312993927786i             19385.47398152489+21448.61757147325i              19388.639261678687+21455.56670144119i
750                                               19598.13796941494+21462.308219176244i             19599.042952805095+21470.588359309146i            19600.95180347817+21478.814000677816i             19603.780689821648+21486.09305698399i             19607.444253383084+21492.952140852005i
755                                               19815.655875368855+21497.91470354851i             19817.09188089401+21506.275711191858i             19819.52993291762+21514.514070606736i             19822.877491445623+21521.73339430168i             19827.04101140207+21528.467691993563i
760                                               20033.92687284951+21531.763797468346i             20035.90730247478+21540.172835414363i             20038.883370386422+21548.389646161253i            20042.75368413044+21555.514118902705i             20047.416452903286+21562.088291312415i
765                                               20252.94527454987+21563.833923741564i             20255.481535383995+21572.25681677836i             20259.002249502533+21580.416750955865i            20263.397063765504+21587.41049523351i             20268.555922839554+21593.78876710527i
770                                               20472.70415444245+21594.102931084923i             20475.805545314794+21602.50428712706i             20479.875253862483+21610.571094900868i            20484.793896550782+21617.397629520394i            20490.443177461115+21623.543958856866i
775                                               20693.195301900843+21622.548184869072i            20696.868907545977+21630.89152490293i             20701.48958790831+21638.82818174055i              20706.928900459687+21645.450584237627i            20713.060377700323+21651.32883737932i
780                                               20914.409183368552+21649.14666060373i             20918.659776863486+21657.39455690215i             20923.83095659336+21665.163418150005i             20929.785235993444+21671.54449340689i             20936.388092319772+21677.118624916202i
